code_postal,ville,nb_immeubles_cibles,total_lots_cibles,score_moyen_cibles
68500,GUEBWILLER,18,448,0.74
74100,VILLE-LA-GRAND,9,447,0.72
29600,MORLAIX,16,447,0.68
74960,CRAN-GEVRIER,11,446,0.7
20600,BASTIA,11,446,0.68
14810,MERVILLE-FRANCEVILLE-PLAGE,11,443,0.76
78200,MANTES-LA-JOLIE,15,439,0.72
94370,SUCY-EN-BRIE,11,437,0.7
62100,CALAIS,20,436,0.74
77380,COMBS-LA-VILLE,9,436,0.74
73230,SAINT-ALBAN-LEYSSE,13,435,0.75
78340,LES CLAYES-SOUS-BOIS,5,434,0.78
17300,ROCHEFORT,12,433,0.68
66110,AMÉLIE-LES-BAINS-PALALDA,19,433,0.73
33310,LORMONT,8,432,0.77
20110,PROPRIANO,8,432,0.7
74930,REIGNIER-ÉSERY,23,432,0.7
37520,LA RICHE,10,430,0.74
62176,CAMIERS,9,429,0.78
38250,VILLARD-DE-LANS,21,429,0.68
33390,BLAYE,3,428,0.72
94250,GENTILLY,16,428,0.72
67205,OBERHAUSBERGEN,23,428,0.69
93260,LES LILAS,25,427,0.74
94410,SAINT-MAURICE,15,426,0.78
81100,CASTRES,18,426,0.75
14150,OUISTREHAM,23,422,0.72
50100,CHERBOURG-EN-COTENTIN,30,421,0.72
38080,L'ISLE-D'ABEAU,6,420,0.64
20220,L'ÎLE-ROUSSE,2,420,0.73
94480,ABLON-SUR-SEINE,5,420,0.65
14400,BAYEUX,13,419,0.68
59130,LAMBERSART,14,418,0.64
