code_postal,ville,adresse,lat,long,lots_habitation,score_immeuble
34300,Agde,5 r du labech 34300 Agde,43.288325,3.505649,28,0.57
86000,Poitiers,1B av du recteur leon pineau 86000 Poitiers,46.572809,0.367333,28,0.71
92700,COLOMBES,7 r thomas d'orleans 92700 COLOMBES,48.924768,2.251788,28,0.64
31150,FENOUILLET,"r de pourrenque, 31150 Fenouillet",43.677654,1.398937,28,0.75
67810,Holtzheim,17 r des bouleaux 67810 Holtzheim,48.563124,7.642001,28,0.86
38600,FONTAINE,17 r des alpes 38600 FONTAINE,45.193844,5.6831,28,0.86
97423,Saint-Paul,21a route du trou d'eau 97423 Saint-Paul,-21.099303,55.242922,28,0.86
26110,non connu,138 Prom de la Digue 26110 NYONS,44.3548818986224,5.12812794351962,28,0.71
72000,Le Mans,8 r de bellevue 72000 Le Mans,48.012423,0.204589,28,0.54
97490,Saint-Denis,14 r edmond rostand 97490 Saint-Denis,-20.88678,55.467673,28,0.86
