nom_syndic,nb_immeubles_cibles,total_places_parking
SARL BETHUNE IMMOBILIER ,21,766
ARTEMIS SOLUTIONS IMMOBILIERES ,21,816
ATELIER GESTION COPRO IMMOBILIER ,21,877
LITTORAL IMMOBILIER ,21,1391
SARL A JOURDAINNE ,21,1088
A2D IMMOBILIER ,20,859
LE MANOIR ,20,870
L'AGENCE DAUPHINE VIVARAIS ,20,1065
CENTRE GESTION IMMOBILIERE TRANSACTION ,20,800
CITYA PARADIS ,20,2615
DUGOURD ET GAME ,20,725
KER GESTION ,20,1168
CORUM IMMOBILIER SARL ,20,657
CABINET RELAND & JAFFREDO ,20,721
COPROLIA ,20,873
CONFLUENCE ROLIN BAINSON ,20,1217
AGENCE OUEST OCEAN ,20,554
SARL CABINET DE LA CITE ,20,861
ETC GESTION ,20,1018
A C A AGENCE DE LA COTE D ARGENT ,20,685
SARL COMPAGNIE DE GESTION IMMOBILIERE ,20,764
EURL GROS PROXIMITE IMMOBILIER (GPI) ,20,1042
TETHYS GESTION ,20,1014
PATRIMMO ,20,525
AGIPORT SYNDIC ET GESTION ,20,500
PASS'IMMO ,20,764
IBAY CLERMONT ,20,632
ALAIN TRONCHET IMMOBILIER ,20,490
CITYA DESCAMPIAUX CENTRE ,20,1242
LE DOMAINE DE L'IMMOBILIER VIENNOIS ,20,1028
SOCIETE DE GESTION ET D'ADMINISTRATION IMMOBILIERE ,20,808
AVANTIM AQUITAINE ,20,1166
POMIES IMMOBILIER ,20,1259
DG IMMOBILIER ,20,704
IMMOBILIERE CAVALIER ,20,926
FONCIA PARIS RIVE GAUCHE ,20,1361
